1.665: [GC1.665: [DefNew: 448K->63K(448K), 0.0016490 secs] 22919K->22710K(1048512K), 0.0018420 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.678: [GC1.678: [DefNew: 447K->63K(448K), 0.0016330 secs] 23094K->22923K(1048512K), 0.0017460 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.689: [GC1.689: [DefNew: 447K->64K(448K), 0.0008840 secs] 23307K->23120K(1048512K), 0.0009470 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.700: [GC1.700: [DefNew: 448K->63K(448K), 0.0008020 secs] 23504K->23281K(1048512K), 0.0008630 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.710: [GC1.710: [DefNew: 447K->63K(448K), 0.0010950 secs] 23665K->23393K(1048512K), 0.0012350 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.720: [GC1.720: [DefNew: 447K->63K(448K), 0.0004890 secs] 23777K->23493K(1048512K), 0.0005220 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.730: [GC1.730: [DefNew: 447K->64K(448K), 0.0005790 secs] 23876K->23656K(1048512K), 0.0006200 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.740: [GC1.740: [DefNew: 448K->63K(448K), 0.0005450 secs] 24040K->23765K(1048512K), 0.0006180 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.749: [GC1.749: [DefNew: 447K->64K(448K), 0.0006010 secs] 24148K->23874K(1048512K), 0.0006470 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.759: [GC1.759: [DefNew: 447K->63K(448K), 0.0006440 secs] 24257K->23988K(1048512K), 0.0006930 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.768: [GC1.768: [DefNew: 447K->64K(448K), 0.0007140 secs] 24372K->24095K(1048512K), 0.0007750 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.778: [GC1.778: [DefNew: 447K->63K(448K), 0.0009780 secs] 24479K->24198K(1048512K), 0.0010410 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.788: [GC1.788: [DefNew: 447K->64K(448K), 0.0006540 secs] 24582K->24309K(1048512K), 0.0007100 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.798: [GC1.798: [DefNew: 448K->63K(448K), 0.0005770 secs] 24693K->24418K(1048512K), 0.0006280 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.808: [GC1.808: [DefNew: 447K->64K(448K), 0.0007470 secs] 24802K->24536K(1048512K), 0.0008130 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.818: [GC1.818: [DefNew: 448K->63K(448K), 0.0007030 secs] 24920K->24645K(1048512K), 0.0007700 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.828: [GC1.828: [DefNew: 447K->63K(448K), 0.0006110 secs] 25029K->24748K(1048512K), 0.0006640 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.842: [GC1.842: [DefNew: 447K->64K(448K), 0.0006220 secs] 25132K->24856K(1048512K), 0.0006790 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
1.852: [GC1.852: [DefNew: 448K->64K(448K), 0.0006590 secs] 25240K->24951K(1048512K), 0.0007200 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.861: [GC1.861: [DefNew: 448K->63K(448K), 0.0006820 secs] 25335K->25063K(1048512K), 0.0007790 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.872: [GC1.872: [DefNew: 447K->63K(448K), 0.0011090 secs] 25447K->25348K(1048512K), 0.0011970 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.883: [GC1.883: [DefNew: 447K->64K(448K), 0.0005910 secs] 25732K->25497K(1048512K), 0.0006270 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.893: [GC1.893: [DefNew: 447K->64K(448K), 0.0006100 secs] 25881K->25601K(1048512K), 0.0006640 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.903: [GC1.903: [DefNew: 448K->63K(448K), 0.0005210 secs] 25985K->25696K(1048512K), 0.0005590 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.912: [GC1.912: [DefNew: 447K->63K(448K), 0.0004970 secs] 26080K->25799K(1048512K), 0.0005400 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.921: [GC1.921: [DefNew: 447K->64K(448K), 0.0004970 secs] 26183K->25908K(1048512K), 0.0005350 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.931: [GC1.931: [DefNew: 448K->63K(448K), 0.0004870 secs] 26292K->26007K(1048512K), 0.0005250 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.941: [GC1.941: [DefNew: 447K->63K(448K), 0.0004470 secs] 26391K->26104K(1048512K), 0.0004800 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.951: [GC1.951: [DefNew: 447K->63K(448K), 0.0004570 secs] 26488K->26191K(1048512K), 0.0004920 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.961: [GC1.961: [DefNew: 447K->63K(448K), 0.0004560 secs] 26575K->26265K(1048512K), 0.0004900 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
